cycle,sample_type,set_time,estimated_distribution
0,Gibbs,5,0.5077796028072271
0,Token,5,0.5133917096080621
0,Gibbs,30,0.5080973623658663
0,Token,30,0.5073623811358245
0,Gibbs,60,0.5086200624933632
0,Token,60,0.508075859281665
0,Gibbs,5,0.5021798069623685
0,Token,5,0.508
0,Gibbs,30,0.5093644833568106
0,Token,30,0.5072585143528655
0,Gibbs,60,0.508703543323621
0,Token,60,0.5082030699062183
0,Gibbs,5,0.5108068831574516
0,Token,5,0.5086500372122056
0,Gibbs,30,0.5072817417352389
0,Token,30,0.5081492182696269
0,Gibbs,60,0.5088412053925099
0,Token,60,0.5083919421701987
0,Gibbs,5,0.5129764494467038
0,Token,5,0.5081222624262045
0,Gibbs,30,0.5068884274509008
0,Token,30,0.506886327305326
0,Gibbs,60,0.5083665509359753
0,Token,60,0.5086492727035501
0,Gibbs,5,0.5068176879617557
0,Token,5,0.5083622778434251
0,Gibbs,30,0.508081671886423
0,Token,30,0.5095441584063516
0,Gibbs,60,0.5082524189795382
0,Token,60,0.5089855314512489
1,Gibbs,5,0.5071936780360634
1,Token,5,0.50089339596966
1,Gibbs,30,0.5044397386143653
1,Token,30,0.5038275849131862
1,Gibbs,60,0.5047792238987254
1,Token,60,0.5049781129055105
1,Gibbs,5,0.5066399642765321
1,Token,5,0.5056641886575297
1,Gibbs,30,0.5060775882564719
1,Token,30,0.5042093756436051
1,Gibbs,60,0.5050899838033666
1,Token,60,0.5042718233703222
1,Gibbs,5,0.506273937873976
1,Token,5,0.5059373858534919
1,Gibbs,30,0.5045135251219794
1,Token,30,0.5031076875102383
1,Gibbs,60,0.5047472321401273
1,Token,60,0.5049614887867793
1,Gibbs,5,0.5054236967592906
1,Token,5,0.504672908216206
1,Gibbs,30,0.5037004267367232
1,Token,30,0.5027284277751102
1,Gibbs,60,0.5042892143026498
1,Token,60,0.5049891540130151
1,Gibbs,5,0.5047424410578458
1,Token,5,0.5024294086307938
1,Gibbs,30,0.5039046893248977
1,Token,30,0.5039572095374238
1,Gibbs,60,0.504841651881754
1,Token,60,0.5047577706175651
2,Gibbs,5,0.4911059845297869
2,Token,5,0.4942605487115396
2,Gibbs,30,0.4914200847757617
2,Token,30,0.4916852394608433
2,Gibbs,60,0.4910601519977237
2,Token,60,0.4912517553842627
2,Gibbs,5,0.4937608651016357
2,Token,5,0.4915484928383097
2,Gibbs,30,0.4920422563935228
2,Token,30,0.4902721414644199
2,Gibbs,60,0.4916610219491578
2,Token,60,0.4912154915650197
2,Gibbs,5,0.4904890164178498
2,Token,5,0.4927129416534503
2,Gibbs,30,0.4910600096989929
2,Token,30,0.4913908825650227
2,Gibbs,60,0.4908971562059578
2,Token,60,0.490820257736845
2,Gibbs,5,0.4913899287525661
2,Token,5,0.4936816037735849
2,Gibbs,30,0.4927083919309654
2,Token,30,0.4907037532847439
2,Gibbs,60,0.491383422476175
2,Token,60,0.4911205783528315
2,Gibbs,5,0.490566241333729
2,Token,5,0.4922812157591348
2,Gibbs,30,0.4918576680943579
2,Token,30,0.4912301136870131
2,Gibbs,60,0.4901280968167598
2,Token,60,0.4920566897918731
3,Gibbs,5,0.5044814583728943
3,Token,5,0.5098345999105945
3,Gibbs,30,0.5065225446690828
3,Token,30,0.5066619845292183
3,Gibbs,60,0.5059817016698842
3,Token,60,0.5058019859567148
3,Gibbs,5,0.5070899741546414
3,Token,5,0.5065446115437199
3,Gibbs,30,0.5067515503543344
3,Token,30,0.506466691174436
3,Gibbs,60,0.5061593182809859
3,Token,60,0.5069462987797565
3,Gibbs,5,0.5080176401569813
3,Token,5,0.5058454272525542
3,Gibbs,30,0.5061424093067082
3,Token,30,0.505626005385801
3,Gibbs,60,0.505359187758672
3,Token,60,0.506282308286448
3,Gibbs,5,0.5058971753708595
3,Token,5,0.5048565929459552
3,Gibbs,30,0.5063524094136916
3,Token,30,0.5061625040239316
3,Gibbs,60,0.5049975797002447
3,Token,60,0.5048793275575078
3,Gibbs,5,0.5055212085371754
3,Token,5,0.5074341465727766
3,Gibbs,30,0.5053892404421687
3,Token,30,0.5072486244310552
3,Gibbs,60,0.505102575807567
3,Token,60,0.506161631107034
4,Gibbs,5,0.5175601243387686
4,Token,5,0.5211391787537332
4,Gibbs,30,0.5202891231614166
4,Token,30,0.5202042115921622
4,Gibbs,60,0.519670190986342
4,Token,60,0.5198206990467544
4,Gibbs,5,0.5204796019629967
4,Token,5,0.5219220506956356
4,Gibbs,30,0.5196150439169825
4,Token,30,0.5186498036748596
4,Gibbs,60,0.5198324173837587
4,Token,60,0.5199085141093738
4,Gibbs,5,0.5211732973701956
4,Token,5,0.5186504892183129
4,Gibbs,30,0.5189083627020913
4,Token,30,0.5189456956952072
4,Gibbs,60,0.5194725486144748
4,Token,60,0.5200578118481743
4,Gibbs,5,0.5174151329243354
4,Token,5,0.5181373496304169
4,Gibbs,30,0.520104749758174
4,Token,30,0.5200271223539348
4,Gibbs,60,0.5191742979797063
4,Token,60,0.5195715266415942
4,Gibbs,5,0.5201196507491646
4,Token,5,0.519030066749365
4,Gibbs,30,0.5171217253839205
4,Token,30,0.5191113852640152
4,Gibbs,60,0.5189626183214755
4,Token,60,0.5199999801408214
5,Gibbs,5,0.4914746543778802
5,Token,5,0.4881781103745323
5,Gibbs,30,0.4897275513106346
5,Token,30,0.4879021774948398
5,Gibbs,60,0.49002925857525265
5,Token,60,0.48823583938031606
5,Gibbs,5,0.48572425399170877
5,Token,5,0.48519576399394854
5,Gibbs,30,0.489242468396983
5,Token,30,0.488305290497431
5,Gibbs,60,0.48833616864755514
5,Token,60,0.4872950241977165
5,Gibbs,5,0.48948932573547455
5,Token,5,0.48760721715961214
5,Gibbs,30,0.48787804211102
5,Token,30,0.48889021847594166
5,Gibbs,60,0.48837308837538945
5,Token,60,0.4886001160579647
5,Gibbs,5,0.4909142833829709
5,Token,5,0.4858881370783235
5,Gibbs,30,0.48828974769032524
5,Token,30,0.48766518847453394
5,Gibbs,60,0.4883072209152963
5,Token,60,0.4876018006116306
5,Gibbs,5,0.48657170534703176
5,Token,5,0.4865399257925333
5,Gibbs,30,0.48877089840161675
5,Token,30,0.4876418267974776
5,Gibbs,60,0.4882499491033564
5,Token,60,0.4879768876520958
6,Gibbs,5,0.5004982752012265
6,Token,5,0.49621974336541264
6,Gibbs,30,0.49842151746286634
6,Token,30,0.4990170708752046
